timestamp,mod,sF,id,fromType
1441471581609,B,2,6,Swap
1441546689198,B,1,6,Swap
1441547938054,B,2,6,Swap
1441617186057,B,1,6,Swap
1441617191772,B,2,6,Swap
1441462007043,B,1,6,Trigger
1441462125271,B,2,6,Trigger
1441627158546,B,1,70,Note
1441627161529,B,1,71,Note
1441384041003,B,1,71,Swap
1441627163952,B,1,72,Note
1441384055694,B,1,73,Interval
1441627167868,B,1,73,Note
1441384066598,B,1,74,Trigger
1441545447799,B,1,78,SimonSays
1441619600106,B,1,7,Fade
1441619612373,B,2,7,Fade
1441366195307,B,1,7,IF
1441374072833,B,1,7,IF
1441620747193,B,1,7,IF
1441622811381,B,1,7,IF
1441278613443,B,1,7,Interval
1441354051907,B,1,7,Interval
1441443143811,B,1,7,Interval
1441443487701,B,1,7,Interval
1441452762478,B,1,7,Interval
1441541658381,B,1,7,Interval
1441541929856,B,1,7,Interval
1441542125059,B,2,7,Interval
1441268384705,B,1,7,Map
1441277356598,B,1,7,Map
1441279992542,B,1,7,Map
1441280653629,B,2,7,Map
1441281547753,B,1,7,Map
1441290126468,B,1,7,Map
1441290474263,B,2,7,Map
1441297998496,B,1,7,Map
1441455646615,B,1,7,Map
1441468117151,B,1,7,Map
1441470432208,B,1,7,Map
1441471564111,B,1,7,Map
1441617205737,B,1,7,Map
1441617244515,B,2,7,Map
1441618713056,B,1,7,Map
1441621476611,B,1,7,Map
1441623181236,B,1,7,Map
1441534257572,B,1,7,Random
1441536246887,B,1,7,Random
1441536328702,B,2,7,Random
1441271793197,B,1,7,SimonSays
1441272004823,B,1,7,SimonSays
1441272184367,B,2,7,SimonSays
1441295916896,B,1,7,SimonSays
1441296960156,B,1,7,SimonSays
1441358433489,B,1,7,SimonSays
1441359301719,B,1,7,SimonSays
1441468652607,B,1,7,SimonSays
1441535464384,B,1,7,SimonSays
1441618894356,B,1,7,SimonSays
1441235048919,B,1,7,Swap
1441265565439,B,1,7,Swap
1441266065074,B,1,7,Swap
1441269173292,B,1,7,Swap
1441278104737,B,1,7,Swap
1441289630525,B,1,7,Swap
1441469584206,B,1,7,Swap
1441532626276,B,1,7,Swap
1441268935395,B,1,7,Trigger
1441292445345,B,1,7,Trigger
1441362065399,B,1,7,Trigger
1441441037353,B,1,7,Trigger
1441441073055,B,2,7,Trigger
1441371091630,B,1,81,Interval
1441371481421,B,2,81,Interval
1441371231820,B,1,84,IF
1441371510212,B,2,84,IF
1441627288648,B,1,84,Trigger
1441627645964,B,2,84,Trigger
1441371247124,B,1,85,IF
1441371508116,B,2,85,IF
1441627304490,B,1,85,Map
1441371456434,B,1,86,IF
1441371513034,B,2,86,IF
1441384196297,B,1,87,Interval
1441627397683,B,1,89,Note
1441384223878,B,1,89,Swap
1441452783573,B,1,8,Fade
1441360401594,B,1,8,IF
1441382635060,B,1,8,IF
1441534270550,B,1,8,IF
1441536323475,B,1,8,Interval
1441553687998,B,1,8,Interval
1441268080780,B,1,8,Map
1441273298243,B,1,8,Map
1441287410549,B,1,8,Map
1441287625094,B,1,8,Map
1441362542801,B,1,8,Map
1441367199588,B,1,8,Map
1441367322182,B,2,8,Map
1441619633794,B,1,8,Map
1441622233896,B,1,8,Map
1441292448585,B,1,8,Note
1441470649058,B,1,8,Note
1441470656119,B,2,8,Note
1441617257676,B,1,8,Note
1441265586880,B,1,8,Swap
1441266066595,B,1,8,Swap
1441278705786,B,1,8,Swap
1441354055804,B,1,8,Swap
1441361548299,B,1,8,Swap
1441443529844,B,1,8,Swap
1441469585982,B,1,8,Swap
1441533398437,B,1,8,Swap
1441541673473,B,1,8,Swap
1441268938530,B,1,8,Trigger
1441272648743,B,1,8,Trigger
1441272653747,B,2,8,Trigger
1441376682320,B,1,8,Trigger
1441371648196,B,1,92,IF
1441371874348,B,2,92,IF
1441384301551,B,1,92,Trigger
1441384437087,B,2,92,Trigger
1441371652951,B,1,93,IF
1441371879729,B,2,93,IF
1441627427382,B,1,93,Map
1441371654435,B,1,94,IF
1441371877408,B,2,94,IF
1441627477387,B,1,96,Map
1441627482076,B,1,97,Map
1441627485056,B,1,98,Map
1441371935089,B,1,99,IF
1441627487514,B,1,99,Map
1441534271686,B,1,9,IF
1441538845427,B,1,9,IF
1441541198078,B,2,9,IF
1441549578077,B,1,9,IF
1441441318883,B,1,9,Interval
1441281578329,B,1,9,Map
1441287804931,B,1,9,Map
1441454802365,B,1,9,Map
1441465922734,B,1,9,Map
1441536412867,B,1,9,Map
1441536420701,B,2,9,Map
1441620959794,B,1,9,Map
1441622872929,B,1,9,Map
1441624869503,B,1,9,Map
1441267233943,B,1,9,Note
1441272659914,B,1,9,Note
1441273080185,B,1,9,Note
1441443162667,B,1,9,Note
1441470658472,B,1,9,Note
1441470664951,B,2,9,Note
1441619725936,B,1,9,Note
1441621622108,B,1,9,Note
1441267569772,B,1,9,SimonSays
1441288247531,B,1,9,SimonSays
1441289925552,B,1,9,SimonSays
1441293411925,B,1,9,SimonSays
1441297484962,B,1,9,SimonSays
1441356741135,B,1,9,SimonSays
1441357706988,B,1,9,SimonSays
1441359991258,B,1,9,SimonSays
1441380343374,B,1,9,SimonSays
1441442344391,B,1,9,SimonSays
1441454527933,B,1,9,SimonSays
1441456268569,B,1,9,SimonSays
1441465337709,B,1,9,SimonSays
1441535373569,B,1,9,SimonSays
1441554016725,B,1,9,SimonSays
1441265589892,B,1,9,Swap
1441286965380,B,1,9,Swap
1441287037685,B,2,9,Swap
1441452789792,B,1,9,Swap
1441462088410,B,1,9,Swap
1441462426787,B,2,9,Swap
1441534825833,B,1,9,Swap
1441541729054,B,1,9,Swap
1441541733768,B,2,9,Swap
1441541952024,B,1,9,Swap
1441553698568,B,1,9,Swap
1441626265378,B,1,9,Swap
1441627588956,B,2,9,Swap
1441368576375,B,1,9,Trigger
1441463592675,B,1,9,Trigger
1441463667840,B,2,9,Trigger
1441271830051,BM,1,10,BTN
1441364149243,BM,1,10,BTN
1441461286104,BM,1,10,BTN
1441461344412,BM,2,10,BTN
1441542688844,BM,1,10,LDR
1441544442421,BM,2,10,LDR
1441532686488,BM,1,10,PEZ
